,user_id,age,churn_date,city,first_name,last_name,reg_date,tariff
0,1000,52,,Краснодар,Рафаил,Верещагин,2018-05-25,ultra
1,1001,41,,Москва,Иван,Ежов,2018-11-01,smart
2,1002,59,,Стерлитамак,Евгений,Абрамович,2018-06-17,smart
3,1003,23,,Москва,Белла,Белякова,2018-08-17,ultra
4,1004,68,,Новокузнецк,Татьяна,Авдеенко,2018-05-14,ultra
5,1005,67,,Набережные Челны,Афанасий,Горлов,2018-01-25,smart
6,1006,21,,Ульяновск,Леонид,Ермолаев,2018-02-26,smart
7,1007,65,,Москва,Юна,Березина,2018-04-19,smart
8,1008,63,,Челябинск,Рустэм,Пономарёв,2018-12-19,smart
9,1009,24,,Пермь,Василиса,Блинова,2018-03-22,smart
10,1010,26,,Тюмень,Эдуард,Кононов,2018-08-05,smart
11,1011,44,,Самара,Веселина,Алёшко,2018-03-19,smart
12,1012,38,,Санкт-Петербург,Варлам,Соловьев,2018-03-28,smart
13,1013,36,,Иваново,Борис,Андреенко,2018-11-14,ultra
14,1014,64,,Чебоксары,Яков,Акинфьев,2018-05-15,smart
15,1015,26,,Челябинск,Рузана,Алюшина,2018-04-30,smart
16,1016,58,,Омск,Марица,Сазонова,2018-11-21,ultra
17,1017,73,,Краснодар,Мария,Аленникова,2018-05-22,smart
18,1018,71,,Уфа,Матвей,Золотов,2018-04-01,ultra
19,1019,63,2018-10-05,Томск,Игнатий,Круглов,2018-05-16,ultra
20,1020,59,2018-12-18,Чита,Тала,Костина,2018-10-22,smart
21,1021,61,,Краснодар,Святослав,Тихонов,2018-04-26,ultra
22,1022,72,,Санкт-Петербург,Василиса,Трофимова,2018-12-01,smart
23,1023,42,,Томск,Людмила,Мельникова,2018-10-22,smart
24,1024,73,,Санкт-Петербург,Иулиан,Антипов,2018-10-31,ultra
25,1025,56,,Уфа,Матвей,Акинин,2018-03-15,smart
26,1026,32,,Мурманск,Евгений,Бородин,2018-10-06,smart
27,1027,62,,Петрозаводск,Владислав,Авдеев,2018-04-10,smart
28,1028,20,,Тверь,Рустем,Евсеев,2018-10-02,ultra
29,1029,51,,Екатеринбург,Алексей,Селезнев,2018-09-15,smart
30,1030,28,,Махачкала,Мариетта,Русанова,2018-05-23,smart
31,1031,66,,Москва,Лаврентий,Тимофеев,2018-11-02,smart
32,1032,31,,Ульяновск,Инна,Игнатьева,2018-01-04,smart
33,1033,71,,Москва,Лия,Бабушкина,2018-07-15,smart
34,1034,66,2018-11-21,Вологда,Святослав,Бондарев,2018-08-26,smart
35,1035,37,,Тюмень,Розалия,Аракина,2018-04-03,smart
36,1036,47,,Санкт-Петербург,Анжелика,Андропова,2018-07-14,smart
37,1037,73,,Череповец,Изольда,Архипова,2018-10-13,smart
38,1038,31,,Москва,Мария,Денисова,2018-10-07,smart
39,1039,40,,Ярославль,Агнесса,Андреенко,2018-06-21,ultra
40,1040,23,,Сочи,Юрий,Одинцов,2018-06-08,smart
41,1041,58,,Москва,Михаил,Кравцов,2018-11-29,smart
42,1042,42,,Хабаровск,Константин,Добрынин,2018-11-25,smart
43,1043,69,,Ставрополь,Марианна,Родионова,2018-07-08,smart
44,1044,51,,Рязань,Иннокентий,Рябов,2018-05-09,smart
45,1045,48,,Улан-Удэ,Джемма,Карасева,2018-01-30,smart
46,1046,72,,Тула,Екатерина,Александрова,2018-08-20,smart
47,1047,67,,Саратов,Милица,Меркулова,2018-10-29,smart
48,1048,73,,Новокузнецк,Лола,Мясникова,2018-08-19,ultra
49,1049,41,,Москва,Габриель,Ларин,2018-03-10,ultra
50,1050,44,2018-10-03,Тюмень,Рузана,Аничкина,2018-06-16,ultra
51,1051,37,2018-10-14,Москва,Кристина,Сомова,2018-05-28,smart
52,1052,52,,Санкт-Петербург,Павел,Панов,2018-07-27,smart
53,1053,64,,Ростов-на-Дону,Ренальд,Фёдоров,2018-09-30,ultra
54,1054,33,,Омск,Кристина,Платонова,2018-03-20,smart
55,1055,39,,Казань,Луиза,Березина,2018-01-02,smart
56,1056,73,2018-10-14,Иркутск,Радислав,Артемьев,2018-04-13,smart
57,1057,43,,Москва,Динара,Дьячкова,2018-03-12,ultra
58,1058,66,,Вологда,Лукий,Глушков,2018-10-07,smart
59,1059,47,,Курск,Глеб,Свиридов,2018-04-14,smart
60,1060,46,,Калуга,Яков,Рудаков,2018-11-24,ultra
61,1061,41,,Санкт-Петербург,Тамара,Ситникова,2018-07-15,smart
62,1062,24,2018-12-09,Москва,Александр,Коршунов,2018-11-16,smart
63,1063,45,2018-12-11,Тула,Таира,Климова,2018-04-12,ultra
64,1064,55,2018-12-26,Якутск,Динара,Алфеева,2018-03-17,smart
65,1065,53,2018-12-09,Москва,Роза,Игнатова,2018-03-08,smart
66,1066,47,,Астрахань,Исак,Малахов,2018-06-24,smart
67,1067,45,,Москва,Юзефа,Абашкина,2018-04-09,smart
68,1068,34,,Москва,Ким,Демьянов,2018-07-16,smart
69,1069,36,,Екатеринбург,Гордей,Кочетов,2018-12-10,smart
70,1070,20,,Химки,Эльза,Селиванова,2018-08-07,smart
71,1071,20,2018-08-31,Омск,Гектор,Чумаков,2018-01-09,smart
